ID	Label	Text
96		Apart from that , a fair trial can be achieved . As all of us know , juries are a group of people who have no or less knowledge regarding law . Thus , exposing them to the past records of the criminal can give them more room to think rationally and finally put the pieces together in order to produce a more meaningful decision . By doing so , the juries will have a sense of relief that they have come up with better conclusion based on plenty of evidences . Not only that , the convicted will also receive a fair action .
308		I was born and grew up in here , a small town . In here , I have a lot of friends , and we usually spend free time to play sports like soccer , basketball and of course we have a lot of fun . Every people in my town have known each others , and we have good relationships . If anyone needs help , his neighbor will help as much as possible . Nowhere else can give me some people like in here .
6		One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country .
318		Capitalism enfranchised people ' s right to own properties , and consequently , their rights to use them . Driving cars during the rush hours might is bound to polluting cities ' s environment , but laws protect drivers to do so , and accordingly , charging them extra fee might seems to be out of the jurisdiction . From another point of view , traffic jam is a natural phenomenon that nobody is able to shun or ban ; so it is out of drivers ' control . Why drivers should pay a fine only for driving their own cars in a particular time ? Wars are notorious , but you can ' t blame the soldiers who are justing fight for their countries .
185		Besides , although utility companies claim that renewable energy is environmentally friendly ; these new forms of energy may not be as clean and green as we think . Latest studies have shown that these renewable resources of energy are problematic as well and they are very likely to pose long-term environmental hazards . For example , the dams built for hydroelectricity influence the water flows of the rivers and sometimes cause drought in areas in front of the dams . This damages the habitats of many valuable fish and wading birds . More importantly , the accumulation of heavy metal in the silt on the bottom of the rivers behind the dams is extremely difficult and expensive to clean up ; leaving problems for the following generations . Thus renewable resources are not as reliable as we think .
137		"Moreover , these sports events are not essential in other issues such as politics or other international affairs . Thus , if the general atmosphere during the show is peaceful and fraternal , the reality is different . In other words , this is the "" calm before the storm "" . After the Olympics games are finished , everything came back to normal and all the game competition is forgotten by the majority . To picture it , recently , Putin was pleased to open the last winter Olympic games and gather international countries , but actually it has been just facade and Putin didn ' t listen international warning after he conquered the Crimea . "
290		Third , I love travelling around the world . large companies have an international reputation , as they organize international conferences , meetings and workshops which will give me the opportunity to travel in different countries and meet new people . As well as learning new skills in my field from these workshops .
335		Besides , nowadays technology is entering into our society really quick and scientists develop robots , which help people cope with their problems or just invent coffee machines , engines with integrated computers and etc . For example , before centeries , there were not washing machines , which clean your clothes , while a person do another job .
168		Pressure is motivation . Each office has its rules that keep workers do their job as effectively as possible . The directors manage employers and give them the deadline of projects . Then again , the workers must try their best to finish the time limit . Doing all jobs at home don ' t make employees attempt to work like this .
30		Some parents might not have enough money to pay for their children university fees . In the other hand , I don ' t think it is also fair for the government as the government has been paying a lot of money for their students ' primary and secondary education . It is better for them to use the money to pay for the other students ' education so that all people in their country could receive the same education .
146		To begin with , students have to find one or more fields of study in which they are really interested . They should not decide their future major without trying a broad range of subjects , otherwise they might miss valuable encounter with the subject . For instance , a would-be mathematician student may be strongly intrigued by philosophy and make a success in the field .
