ID	Label	Text
38		Secondly , technical developments improve productivity , which help people to escape from daily chores , and invest more time and energy in studying and living a more meaningful life . With the development of Internet , we can enjoy the pleasure and conveniences which it brings about for us every day . In the past time , we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us . Nowadays , we can talk with our friends online , no matter where we are and how far between us . In addition , the Internet gives everyone access to the same information , this therefore leads to greater equality between individuals .
96		Apart from that , a fair trial can be achieved . As all of us know , juries are a group of people who have no or less knowledge regarding law . Thus , exposing them to the past records of the criminal can give them more room to think rationally and finally put the pieces together in order to produce a more meaningful decision . By doing so , the juries will have a sense of relief that they have come up with better conclusion based on plenty of evidences . Not only that , the convicted will also receive a fair action .
205		Finally , psychology knows two types of motivation . There is intrinsic motivation which comes from your own mindset . And there is extrinsic motivation which comes from the praise and laud of other people . Intrinsic motivation is known to be much more desirable because it leads to better learning and well-being . However , in order to gain intrinsic motivation students need to become aware of their strengths and aims . By giving students the freedom to choose about class attendance they might rather be thinking about why they decided to study and learn to motivate themselves . These are crucial skills for the duration of their study and their whole life time .
251		"First , the core of group working is "" consensus "" . It ' s the idea that everyone Ûª s opinion accounts . In group works , group members gather together to have brain-storming discussion , think over every possible solutions and then finally reach an agreement . In this long process of discussion , there must be different opinions sparkling out . It doesn ' t work if one member solely insists on his / her idea and doesn ' t take other member ' s criticism because the work belongs to every member , not a personal show for specific one member . It ' s every member ' s duty to respect other ' s opinion . "
6		One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country .
185		Besides , although utility companies claim that renewable energy is environmentally friendly ; these new forms of energy may not be as clean and green as we think . Latest studies have shown that these renewable resources of energy are problematic as well and they are very likely to pose long-term environmental hazards . For example , the dams built for hydroelectricity influence the water flows of the rivers and sometimes cause drought in areas in front of the dams . This damages the habitats of many valuable fish and wading birds . More importantly , the accumulation of heavy metal in the silt on the bottom of the rivers behind the dams is extremely difficult and expensive to clean up ; leaving problems for the following generations . Thus renewable resources are not as reliable as we think .
341		Some people who hold different viewpoints may advocate that protecting traditions consume too much financial budget compared with the incoming it takes . In spite of the fact this kind of business bring limited contribution to government finance , it should be emphasized that the expense is trivial compared with the potential value of traditions . Therefore the government authorities and education institutes should work closely together to promote the traditional skills and ways of life , so as to make people to realize the value of them .
166		What ' s more , cities have better medical facilities than in the countryside . This can at least assure me that if I feel bad , city can provide a high quality help .
122		Secondly , the new high school will be a place for new connections between the student of different communities and districts of the city . After classes students and not only the students will get together in building of high school , participate in different competitions . For instance during the football match the students of different high schools will come and after the competition they will keep in touch . This will increase the social connections of the students . The only disadvantage is the noisiness of the competitions . The people living in the neighborhood will be a bit perturbed , but I think this isn ' t a important reason for ceasing the competitions .
168		Pressure is motivation . Each office has its rules that keep workers do their job as effectively as possible . The directors manage employers and give them the deadline of projects . Then again , the workers must try their best to finish the time limit . Doing all jobs at home don ' t make employees attempt to work like this .
