ID	Label	Text
38		Secondly , technical developments improve productivity , which help people to escape from daily chores , and invest more time and energy in studying and living a more meaningful life . With the development of Internet , we can enjoy the pleasure and conveniences which it brings about for us every day . In the past time , we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us . Nowadays , we can talk with our friends online , no matter where we are and how far between us . In addition , the Internet gives everyone access to the same information , this therefore leads to greater equality between individuals .
20		On the other hand , I believe that governments should restrict the use of products that cause air pollution for both individuals and companies . Governments also should use an amount of money from their budgets to clean up the air , instead of putting all the responsibility to companies and private individuals .
205		Finally , psychology knows two types of motivation . There is intrinsic motivation which comes from your own mindset . And there is extrinsic motivation which comes from the praise and laud of other people . Intrinsic motivation is known to be much more desirable because it leads to better learning and well-being . However , in order to gain intrinsic motivation students need to become aware of their strengths and aims . By giving students the freedom to choose about class attendance they might rather be thinking about why they decided to study and learn to motivate themselves . These are crucial skills for the duration of their study and their whole life time .
251		"First , the core of group working is "" consensus "" . It ' s the idea that everyone Ûª s opinion accounts . In group works , group members gather together to have brain-storming discussion , think over every possible solutions and then finally reach an agreement . In this long process of discussion , there must be different opinions sparkling out . It doesn ' t work if one member solely insists on his / her idea and doesn ' t take other member ' s criticism because the work belongs to every member , not a personal show for specific one member . It ' s every member ' s duty to respect other ' s opinion . "
169		To begin with , it is vital that professors should assist students to acquire knowledge . The professors Ûª duty is to nurture students , and prepare excellent courses . If professors spend a lot of time on research , he will cut the time on preparing courses is reduced , which may decrease the quality of classes . The reason why people enter a university is that they want to learn cutting-edged technologies . In this way , professors should provide well-preparation courses to convey the state-of-art knowledge for college and university students . Therefore , professors should pay more attention on how to teach students rather than conduct research .
308		I was born and grew up in here , a small town . In here , I have a lot of friends , and we usually spend free time to play sports like soccer , basketball and of course we have a lot of fun . Every people in my town have known each others , and we have good relationships . If anyone needs help , his neighbor will help as much as possible . Nowhere else can give me some people like in here .
137		"Moreover , these sports events are not essential in other issues such as politics or other international affairs . Thus , if the general atmosphere during the show is peaceful and fraternal , the reality is different . In other words , this is the "" calm before the storm "" . After the Olympics games are finished , everything came back to normal and all the game competition is forgotten by the majority . To picture it , recently , Putin was pleased to open the last winter Olympic games and gather international countries , but actually it has been just facade and Putin didn ' t listen international warning after he conquered the Crimea . "
306		Second , technology also makes teaching simpler . In the past , teachers have to write what they want to convey to students on the chalkboard , resulting in a great waste of time and the fatigue of teachers . With the advent of iPads in e-learning , paper books become unnecessary , so does the blackboards , it is because all the knowledge and information are stored in the iPads , with a single click , and they would appear right before your eyes at once .
290		Third , I love travelling around the world . large companies have an international reputation , as they organize international conferences , meetings and workshops which will give me the opportunity to travel in different countries and meet new people . As well as learning new skills in my field from these workshops .
166		What ' s more , cities have better medical facilities than in the countryside . This can at least assure me that if I feel bad , city can provide a high quality help .
